Transect,Latitude,Longitude
200,27.0375,92.6017
500,27.00701,92.42173
550,27.00766,92.42071
600,27.0087,92.41829
650,27.00533,92.41881
700,27.00715,92.41587
750,27.00803,92.41465
800,27.01668,92.41309
850,27.01637,92.41285
900,27.01637,92.41259
950,27.02145,92.41522
1000,27.02133,92.4142
1050,27.02269,92.41475
1100,27.02287,92.41362
1150,27.02394,92.41301
1200,27.02448,92.41155
1250,27.04585,92.41889
1300,27.05472,92.41654
1350,27.05953,92.4151
1400,27.05903,92.41322
1450,27.06009,92.4131
1500,27.06066,92.41298
1550,27.06164,92.41364
1600,27.06304,92.41381
1650,27.06767,92.41605
1700,27.06539,92.41418
1750,27.06664,92.41328
1800,27.06937,92.4121
1850,27.0678,92.41086
1900,27.0675,92.4099
1950,27.06691,92.404
2000,27.07079,92.40083
2050,27.07447,92.40041
2100,27.07341,92.40132
2150,27.07375,92.40589
2200,27.07891,92.40399
2250,27.07583,92.40607
2300,27.07994,92.40588
2350,27.08351,92.40527
2400,27.08442,92.40474
2450,27.10305,92.41693
2500,27.10538,92.42126
2550,27.11332,92.4356
2600,27.11954,92.43487
2650,27.12174,92.4356
2700,27.1261,92.44663
2750,27.12405,92.45195
2800,27.12523,92.45511
