OrigNamesInSchumm,RevisedNames
Ficedula_monileger,Anthipes_monileger
Haematospiza_sipahi,Carpodacus_sipahi
Propyrrhula_subhimachala,Carpodacus_subhimachalus
Tesia_castaneocoronata,Cettia_castaneocoronata
Chelidorhynx_hypoxantha,Chelidorhynx_hypoxanthus
Paradoxornis_atrosuperciliaris,Chleuasicus_atrosuperciliaris
Carduelis_spinoides,Chloris_spinoides
Paradoxornis_unicolor,Cholornis_unicolor
Minla_strigula,Chrysominla_strigula
Picus_flavinucha,Chrysophlegma_flavinucha
Stachyridopsis_chrysaea,Cyanoderma_chrysaeum
Stachyridopsis_ruficeps,Cyanoderma_ruficeps
Dicaeum_melanoxanthum,Dicaeum_melanozanthum
Dicrurus_annectans,Dicrurus_annectens
Spelaeornis_formosus,Elachura_formosa
Muscicapella_hodgsoni,Ficedula_hodgsoni
Dryonastes_caerulatus,Garrulax_caerulatus
Dryonastes_gularis,Garrulax_gularis
Ianthocincla_ocellata,Garrulax_ocellatus
Cettia_brunnescens,Horornis_brunnescens
Cettia_fortipes,Horornis_fortipes
Pitta_nipalensis,Hydrornis_nipalensis
Hypsipetes_mcclellandi,Ixos_mcclellandii
Coracina_melaschistos,Lalage_melaschistos
Heterophasia_annectans,Leioptila_annectens
Parus_spilonotus,Machlolophus_spilonotus
Pericrocotus_speciosus,Pericrocotus_flammeus
Seicercus_castaniceps,Phylloscopus_castaniceps
Phylloscopus_affinis,Phylloscopus_intermedius
Seicercus_poliogenys,Phylloscopus_poliogenys
Seicercus_whistleri,Phylloscopus_whistleri
Xiphirhynchus_superciliaris,Pomatorhinus_superciliaris
Megalaima_lineata,Psilopogon_lineatus
Megalaima_virens,Psilopogon_virens
Paradoxornis_ruficeps,Psittiparus_ruficeps
Aceros_undulatus,Rhyticeros_undulatus
Schoeniparus_cinerea,Schoeniparus_cinereus
Minla_cyanouroptera,Siva_cyanouroptera
Paradoxornis_nipalensis,Suthora_nipalensis
Tephrodornis_gularis,Tephrodornis_virgatus
Staphida_castaniceps,Yuhina_castaniceps
Actinodura_waldeni,Sibia_waldeni
